172,Cañadón Potrok Aike 1,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
173,Cerro Puesto Límite,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
174,Cerro Timone,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
175,Cueva de los Contrabandistas,,no,,,n.r.,,Indet.,Indet., Arte Rupestre,n.r.
176,Gallegos Chico, Prieto 1997,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
177,Juniaike 1, Gómez 1989-90,no,,,n.r.,,Indet.,Indet.,5,2
178,Juniaike 2,,,,,n.r.,,,Indet.,Campamento Base,300
179,Juniaike 3,,,,,n.r.,,,Indet.,Taller Lítico,5
180,Juniaike 4,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
181,Juniaike 5,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
182,Juniaike 6,,no,,,n.r.,,Alta,Suave, Arte Rupestre,2
183,Piedra Grande,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
184,Taller Gallegos Chico,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
185,Isla Contramaestre 1,,no,70°44',51°57''00,n.r.,,Alta,Mediana,n.r.,n.r.
186,Isla Contramaestre 2, Emperaire 1965,no,,,n.r.,,Alta,Mediana,n.r.,n.r.
187,Isla Contramaestre 3, Emperaire 1965,no,,,n.r.,,Alta,Indet.,n.r.,n.r.
188,Bahía Colorada,,si,,,,,,Indeterminado,Indet.,Indet.
189,Englefield,,si,,,,,Indeterminado,n.r.,Limo,Pedogénico-Humus
190,M10,Legoupil 1984-85,no,,,4,,Bosque,Indet.,Indeterminado,n.r.
191,M9,Emperaire 1951. En Legoupil et al. 1992-93,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
192,Punta Sur de Bh. Colorada,Emperaire 1951. En Legoupil et al. 1992-93,si,,,n.r.,,Terraza Marina 1,Indeterminado,20,Funerario
193,Isla  Escarpada  4,Legoupil et al. 1992-93,no,,,1 a 2,,Indet.,Suave,6,6
194,Isla  Escarpada 1,Emperaire 1951. En Legoupil et al. 1992-93. Legoupil y Bertran 1995-96,no,72°14'11'',52°35'35'',2 a 3,,Indet.,Mediana,3,10
195,Isla  Escarpada 2,Emperaire 1951. En Legoupil et al. 1992-93,no,72°14'40'',52°35'16'',3,,Indet.,Suave,3,10
196,Isla  Escarpada 3,Emperaire 1951. En Legoupil et al. 1992-93,no,72°14'46'',52°35'15'',3,,Pradera con Arbustos,Indet.,Campamento Base,15
197,Isla  Escarpada 5,Emperaire 1951. En Legoupil et al. 1992-93,no,72°14'11'',52°35'40'',1,,Indet.,Suave,1,12
198,Isla  Escarpada 6,Emperaire 1951. En Legoupil et al. 1992-93,no,72°16'23'',52°35'58'',1,,Indet.,Suave,15,5
199,Isla  Escarpada 7,Emperaire 1951. En Legoupil et al. 1992-93,no,72°14'07'',52°35'29'',2 a 3,,Indet.,Suave,n.r.,n.r.
200,Isla  Escarpada 8,Emperaire 1951. En Legoupil et al. 1992-93,no,72°14'09'',52°35'15'',2,,Indet.,Suave,6,5
201,Isla Escarpada 10,Legoupil y Schidlowsky 1993-94,no,72°13'59'',52°35'02'',2,,Indet.,Plano,3,3
202,Isla Escarpada 9,Legoupil y Schidlowsky 1993-94,no,72°14'02'',52°35'13'',2,,Indet.,Suave,5,4
203,Isla Guzmán 44,Legoupil y Schidlowsky 1993-94,si,72°13'58'',52°35'01'',72°06'20'',,Indeterminado,Indet.,Taller Lítico, Campamento Base
204,Isla Guzmán 45,Legoupil y Schidlowsky 1993-94,no,,,n.r.,,Indet.,Suave,4,2
205,Isla Guzmán 46,Legoupil y Schidlowsky 1993-94,no,72°06'20'',52°38'10'',n.r.,,Indet.,Suave,2,2
206,Isla Guzmán 47,,no,72°06'20'',52°38'10'',n.r.,,Indet.,Mediana,3,1
207,Isla Guzmán 48,,no,72°06'20'',52°38'11'',n.r.,,Indet.,Suave,4,5
208,Isabel 1,,no,72°06'20'',52°38'11'',0,,Pradera con Arbustos,Indet.,Campamento Efímero,n.r.
209,Isabel 10,,no,,,4,,Indeterminado,Indet.,Indeterminado,n.r.
210,Isabel 11,,no,,,0,,Indeterminado,Indet.,Campamento Efímero,n.r.
211,Isabel 12,,no,,,0-3,,Indet.,Indet.,n.r.,n.r.
212,Isabel 13,,no,,,0-3,,Indeterminado,Indet.,Campamento Efímero,n.r.
213,Isabel 14,,no,,,0,,Indet.,Indet.,n.r.,n.r.
214,Isabel 15,,no,,,4,,Indeterminado,Indet.,Campamento Efímero,n.r.
215,Isabel 16,,no,,,2,,Indeterminado,Indet.,Campamento Efímero,n.r.
216,Isabel 17a,,no,,,2,,Indeterminado,Indet.,Campamento Efímero,30
217,Isabel 17b,,no,,,0,,Indet.,Indet., Funerario,200
218,Isabel 18,,no,,,3,,Indet.,Indet.,n.r.,n.r.
219,Isabel 19,,no,,,0-1,,Indeterminado,Indet.,Campamento Efímero,n.r.
220,Isabel 2,,no,,,1,,Pradera con Arbustos,Indet.,Campamento Efímero,n.r.
221,Isabel 20,,no,,,0-1,,Indeterminado,Indet.,Campamento Efímero,n.r.
222,Isabel 21,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
223,Isabel 22,,no,,,1,,Indeterminado,Indet.,Campamento Efímero,n.r.
224,Isabel 23,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
225,Isabel 24,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
226,Isabel 25,,no,,,1,,Indeterminado,Indet.,Campamento Efímero,n.r.
227,Isabel 26,,no,,,n.r.,,Indet.,Mediana,n.r.,n.r.
228,Isabel 27,,no,,,5,,Indet.,Indet.,n.r.,n.r.
229,Isabel 28,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
230,Isabel 29,,no,,,n.r.,,Indet.,Plano,n.r.,n.r.
231,Isabel 3,,no,,,1,,Pradera con Arbustos,Indet.,Campamento Efímero,n.r.
232,Isabel 30,,no,,,n.r.,,Indet.,Plano,n.r.,n.r.
233,Isabel 31,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
234,Isabel 32,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
235,Isabel 33,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
236,Isabel 34,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
237,Isabel 35,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
238,Isabel 36,,no,,,1,,Indet.,Indet.,n.r.,n.r.
239,Isabel 37,,no,,,n.r.,,Indet.,Mediana,n.r.,n.r.
240,Isabel 38,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
241,Isabel 4,,no,,,1,,Indeterminado,Indet.,Campamento Efímero,n.r.
242,Isabel 5,,no,,,n.r.,,Indet.,Plano,30,n.r.
243,Isabel 6,,no,,,2,,Indeterminado,Indet.,Campamento Efímero,n.r.
244,Isabel 7,,no,,,0,,Indet.,Indet.,n.r.,n.r.
245,Isabel 8,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
246,Isabel 9,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
247,Isla Isabel 1,Legoupil et al. 1992-93,no,,,n.r.,,Media,Indet.,n.r.,n.r.
248,Punta Silvestre 1,Legoupil et al. 1992-93,no,,,n.r.,,Media,Suave,n.r.,n.r.
249,Isla  Larga 11,Legoupil et al. 1992-93,no,,,1,,Indet.,Suave,12,8
250,Isla  Larga 12,,si,72°39'28'',52°36'58'',72°36'27'',,Bosque,Indet.,Campamento,5
251,Isla Latorre 23,Legoupil et al. 1992-93,no,,,1,,Indet.,Plano,5,4
